id,osmId,name,addrCity,addrPostcode,addrStreet,addrHousenumber,phone,coordinates
resturant211,node/1526314493,La Salera,Cavalese,38033,Via Pizzegoda,3,,"[11.4624067, 46.2917338]"
resturant212,node/1532731021,Ristorante Pizzeria Centrale,Borgo Valsugana,38051,Piazza Martiri della Resistenza,3,,"[11.4579954, 46.0534021]"
resturant213,node/1564285263,Gasthof Schwarzer Adler,Schlanders,39028,Hauptstraße,38b,,"[10.7770933, 46.6286109]"
resturant214,node/1579602973,Binderstube,Völs am Schlern - Fiè allo Sciliar,39050,Dorfstraße - Via del Paese,10,,"[11.501017, 46.5176813]"
resturant215,node/1579603001,Sander,Völs am Schlern - Fiè allo Sciliar,39050,Weingartnerweg - Via Weingartner,5,,"[11.4988786, 46.5132744]"
resturant216,node/1602224274,Sichelburg,Pfalzen - Falzes,39030,Burgweg - Via Castello,1a,,"[11.8826923, 46.8145734]"
resturant217,node/1608971475,Trattoria Pizzeria Smorza,Romagnano,38123,Via dei Rimoni,26,+39 0461 349130,"[11.107122, 46.0176482]"
resturant218,node/1633007183,La Maison de Filip,Trento,38122,Piazzetta Nicolò Rasmo,7,+39 0461 1415530,"[11.1247229, 46.0711211]"
resturant219,node/1633007340,Para Todos,Trento,38122,Via Torre Verde,62,,"[11.1246427, 46.0715283]"
resturant220,node/1676301478,Cafe Eisdiele Pizzeria Liliane,St. Pauls - San Paolo,39057,Paulser Straße - Via San Paolo,10,,"[11.2605764, 46.4715249]"
resturant221,node/1706915650,Ristorante Pizzeria Corsaro,Riva del Garda,38066,Viale Scaligero,5,,"[10.8435768, 45.8853148]"
resturant222,node/1741126715,Pizzeria Römerkeller,Algund - Lagundo,39022,Marktgasse - Via Mercato,12,,"[11.1160246, 46.6806577]"
resturant223,node/1741127774,Ristorante Zur Blauen Traube,Algund - Lagundo,39022,Alte Landstraße - Strada Vecchia,44,,"[11.1227301, 46.6831904]"
resturant224,node/1762368239,Pizzeria Al Cantuccio,Bolzano - Bozen,39100,Via della Visitazione - Mariaheimweg,4e,,"[11.3373872, 46.4962259]"
resturant225,node/1762372106,La Veneziana,Bolzano - Bozen,39100,Viale Venezia - Venediger Straße,59a,,"[11.3456967, 46.4952347]"
resturant226,node/1773364396,Restaurant Römerkeller,Lana,39011,Bozner Straße - Via Bolzano,67,,"[11.1754296, 46.6089487]"
resturant227,node/1782401360,3 Cime,Denno,38010,Località Poz 9/B,,+39 0461 1532589,"[11.0606022, 46.2659931]"
resturant228,node/1783149996,Restaurant Stadele,Lana,39011,Aichweg,2,,"[11.1450366, 46.6184198]"
resturant229,node/1785372307,Zur Sonne,Lana,39011,Andreas-Hofer-Straße - Via Andreas Hofer,1,,"[11.1464788, 46.6157188]"
resturant230,node/1791527806,Roma,Aldeno,38068,Via Roma,8,+39 0461 842821,"[11.0913978, 45.9776691]"
resturant231,node/1794420761,Restaurant Pizzeria Tanner,Meran - Merano,39012,Dante-Alighieri-Straße - Via Dante Alighieri,77,,"[11.1811887, 46.6605767]"
resturant232,node/1794442961,"Ladurn - Pizzeria, Eiscafé, Bistro",Marling - Marlengo,39020,Nörderstraße,21,+39 0473 447018,"[11.1373295, 46.6653658]"
resturant233,node/1801573521,Pizzeria Aqua Forum,Latsch,39021,Marktstraße,48,,"[10.8584153, 46.610865]"
resturant234,node/1801573522,Pizzeria Jolly,Latsch - Laces,39021,Marktstraße - Via Mercato,1,,"[10.8586718, 46.6165242]"
resturant235,node/1815133390,Osteria dei Magasì,Ledro,38067,Via del Dazi,3,,"[10.8054919, 45.8656358]"
resturant236,node/1841029256,Rino,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,39048,Streda Mëisules,217,,"[11.7603459, 46.553907]"
resturant237,node/1886935426,Rifugio Viote,Trento,38123,Strada delle Viote,8,+39 0461 947131,"[11.0377754, 46.0232713]"
resturant238,node/1889561976,Sushoku,Riva del Garda,38066,Viale Martiri XXVIII Giugno,7,,"[10.8439069, 45.8876603]"
resturant239,node/1889564709,PizzaExpress,Riva del Garda,38066,Viale Trento,20,,"[10.8456847, 45.8909775]"
resturant240,node/1889567042,Osteria la Contrada,Riva del Garda,38066,Via Bastione,1,,"[10.839592, 45.8866025]"
resturant241,node/1900764680,Restaurant Pizzeria Liszt,Meran - Merano,39012,Passerpromenade - Passeggiata Lungo Passirio,49,,"[11.1613182, 46.6706594]"
resturant242,node/1900776141,Gaston,Meran - Merano,39012,Laubengasse - Via Portici,242,,"[11.1609753, 46.6722927]"
resturant243,node/1904436954,Ristorante Maffei,Riva del Garda,38066,Via Andrea Maffei,7,,"[10.8408412, 45.8850994]"
resturant244,node/1905543727,Antica Stella,Mattarello,38123,Via Giulio Catoni,106,+39 0461 944401,"[11.1267956, 46.0054795]"
resturant245,node/1909177631,Adler,Deutschnofen - Nova Ponente,39050,Hauptstraße - Via Principale,5,,"[11.4276815, 46.4136095]"
resturant246,node/1949330556,Restaurant Freina,Selva Gardena - Wolkenstein,39048,Streda Frëina,23,,"[11.762183, 46.551943]"
resturant247,node/1949335248,Restaurant Pizzeria Stübele,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,39048,Streda Dantercëpies,7,,"[11.7633824, 46.5538631]"
resturant248,node/1949343920,La Bula,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,39048,Streda Mëisules,287,,"[11.7635551, 46.5521538]"
resturant249,node/1979796467,Terminal Ro.La.,Trento,38121,Via San Sebastian,21,,"[11.0970986, 46.1032926]"
resturant250,node/1994259645,Ristorante Pizzeria Sport Bar,Sterzing - Vipiteno,39049,Geizkoflerstraße - Via Geizkofler,8,,"[11.4323361, 46.898588]"
resturant251,node/1996153215,MMM Firmian BAR-CAFE,Bolzano - Bozen,39100,Via Castel Firmiano - Sigmundskroner Straße,33,,"[11.3047897, 46.4804986]"
resturant252,node/1998966136,Il Libertino,Trento,38122,Piazza di Piedicastello,4,+39 0461 260085,"[11.112497, 46.0708858]"
resturant253,node/1998966141,Trattoria Piedicastello,Trento,38122,Piazza di Piedicastello,12,+39 0461 439859,"[11.1128044, 46.0710211]"
resturant254,node/2015370728,Goldener Engel,Klausen - Chiusa,39043,Tinneplatz - Piazza Tinne,11,,"[11.5647747, 46.6392916]"
resturant255,node/2046004718,Ristorante Pizzeria Veruska,Bolzano - Bozen,39100,Via Andreas Hofer - Andreas-Hofer-Straße,8,,"[11.3594785, 46.5008322]"
resturant256,node/2055828152,Gasthof Troger,Rasen-Antholz - Rasun Anterselva,39030,Oberrasner Straße - Via Rasun di Sopra,21,,"[12.0581761, 46.7897804]"
resturant257,node/2055913460,Ichiban,Bolzano - Bozen,39100,Via Renon - Rittner Straße,12a,,"[11.3640109, 46.5001982]"
resturant258,node/2093407570,Costamula,Urtijëi - St.Ulrich - Ortisei,39046,Streda Cuca,184,,"[11.6943308, 46.5846987]"
resturant259,node/2098608086,Ütia Florian,La Ila - Stern - La Villa,39030,Plaönstr,38,,"[11.8965503, 46.5857442]"
resturant260,node/2133570092,Al Centro,Sarnonico,38011,Viale San Lorenzo,4,,"[11.1397232, 46.419847]"
resturant261,node/2156996778,Tabarel,Mareo - Marebbe - Enneberg,39030,Strada Catarina Lanz,28,+39 0474 501210,"[11.9299757, 46.6979942]"
resturant262,node/2158648767,Ciolá,Mareo - Marebbe - Enneberg,39030,Strada Plan De Corones,17,,"[11.9300653, 46.7030021]"
resturant263,node/2159341029,Trattoria Girarrosto,Isera,38060,Via cornalè,10d,,"[11.011319, 45.882988]"
resturant264,node/2159359633,Trattoria Bar Christian,Rovereto,38068,Via Orefici,17,,"[11.0438802, 45.8905542]"
resturant265,node/2159362024,Osteria del Pettirosso,Rovereto,38068,Corso Bettini,24,+39 0464 422463,"[11.0437522, 45.8915814]"
resturant266,node/2159956148,Spuntloch,Kaltern - Caldaro,39052,Goldgasse,35,,"[11.2436114, 46.412147]"
resturant267,node/2162288923,Ritterkeller,San Vigilio di Marebbe,39030,Strada Ras-Costa,2,,"[11.929034, 46.7059501]"
resturant268,node/2173364098,Furl Hütte,Sterzing - Vipiteno,39049,Rosskopfstraße - Strada di Montecavallo,65,,"[11.4025785, 46.9189779]"
resturant269,node/2206620034,Messnerwirt,Olang - Valdaora,39030,Kirchgasse - Vicolo della Chiesa,7,,"[12.040729, 46.7578662]"
resturant270,node/2267418549,ipoh,Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino,39040,Etschweg - Via dell'Adige,14,,"[11.2404167, 46.2953802]"
resturant271,node/2295435641,Gasthaus Unteregger,Karneid - Cornedo all'Isarco,39053,Learn - Via Learn,13,,"[11.462582, 46.4540207]"
resturant272,node/2297463811,Speck Stube,Ledro,38067,Viale Foletto,10,,"[10.732532, 45.8857387]"
resturant273,node/2304364338,Café Pizzeria Maso della Pieve,Bolzano - Bozen,39100,Via Maso della Pieve - Pfarrhofstraße,9,,"[11.3369938, 46.4708545]"
resturant274,node/2320411911,Europa,Bolzano - Bozen,39100,Viale Europa - Europaallee,19,,"[11.3266578, 46.4925816]"
resturant275,node/2333490600,Centrale Teather,Innichen - San Candido,39038,Via Peter Paul Rainer - P. P. Rainer Straße,17,,"[12.2796426, 46.7335088]"
resturant276,node/2335415593,Ristorante Alla Lega,Arco,38062,Via Vergolano,8,,"[10.8851655, 45.9195856]"
resturant277,node/2337216240,Ahoi! Minigolf,Bolzano - Bozen,39100,Lungo Talvera Bolzano - Bozner Wassermauer,22,,"[11.3508734, 46.5093154]"
resturant278,node/2343770839,Osteria Cà dei Giosi,Covelo,38070,Via Villa Alta,9a,+39 0461 862110,"[11.0177874, 46.0980034]"
resturant279,node/2351214881,Da Bruno,Trento,38121,Via Soprasasso,32/2,+39 388 6313684;+39 329 8012714,"[11.1085604, 46.1065587]"
resturant280,node/2356996144,forneria 38,Bolzano - Bozen,39100,Piazza delle Erbe - Obstplatz,38,,"[11.3526718, 46.5000261]"
resturant281,node/2364540524,Bistrot Dolomieu,Andalo,38010,Via Ponte Lambin,4,,"[11.0028361, 46.1645327]"
resturant282,node/2365638395,Al Vesuvio,Trento,38122,Via della Malvasia,105,+39 0461 987303,"[11.1251388, 46.0751752]"
resturant283,node/2378439248,Pizzeria Pub Fermata 97,Tione di Trento,38079,Via Circonvallazione,97,,"[10.7238527, 46.0288449]"
resturant284,node/2381700948,Ristorante Pizzeria Antico Focolare,Madonna di Campiglio,38084,Viale Dolomiti di Brenta,64,,"[10.8258867, 46.2262578]"
resturant285,node/2386913428,Gallhof,Völlan/Lana,39011,Jochweg,11,,"[11.1281043, 46.585119]"
resturant286,node/2397156968,La Talpa 3.0,Trento,38122,Corso del Lavoro e della Scienza,8,+39 351 3455834,"[11.1147785, 46.062255]"
resturant287,node/2398434106,Rableid Alm,Schnals-Senales,39020,Pfossental,2,,"[10.9530169, 46.753715]"
resturant288,node/2414240998,Reider Biwak12,Moso,39030,St.-Josef-Straße - Via San Giuseppe,27,,"[12.3665258, 46.6901528]"
resturant289,node/2426731301,Torggelkeller,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Bichl,2,,"[11.2465864, 46.4142789]"
resturant290,node/2426731311,Pizzeria Goldener Stern,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Andreas-Hofer-Straße - Via Andreas Hofer,28,,"[11.2460318, 46.4140532]"
resturant291,node/2432670235,Hotel Grauer Bär,Brixen - Bressanone,39042,Altenmarktgasse - Via Mercato Vecchio,27,,"[11.6563498, 46.718714]"
resturant292,node/2441592073,Kegelgasslalm,Ahrntal - Valle Aurina,39030,Rohrberg,12,,"[11.9081167, 47.001878]"
resturant293,node/2446369198,Gader,Mareo - Marebbe - Enneberg,39030,Str. Longega,10,,"[11.89111, 46.7217761]"
resturant294,node/2446412398,Restaurant-Cafe Ladurner,Algund - Lagundo,39022,Vellau,,+39 0473 448 439,"[11.1116705, 46.6950925]"
resturant295,node/2486092346,Ristorante Novecento dell'Hotel Rovereto,Rovereto,38068,Corso Antonio Rosmini,82/d,,"[11.0378818, 45.8907625]"
resturant296,node/2492225410,Roland's Bistro,Sulden - Solda,39029,Hauptstraße - Via Principale,77a,,"[10.5878892, 46.5281715]"
resturant297,node/2493523507,Locanda al Castello,Rovereto,38068,Piazza Malfatti,20,,"[11.0445419, 45.8877941]"
resturant298,node/2498881438,Pizzeria al Porto,Arco,38062,Via Linfano,52,,"[10.8732371, 45.8791785]"
resturant299,node/2503251421,Alte Post,Schlanders - Silandro,39028,Hauptstraße - Via Principale,86,,"[10.7751564, 46.6287984]"
resturant300,node/2510595934,zur Rose,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Josef-Innerhofer-Straße - Via Josef Innerhofer,2,,"[11.2588126, 46.4550916]"
resturant301,node/2556500415,Twist - Pizza 'n More,Trento,38122,Via Giacomo Matteotti,36,,"[11.1209065, 46.0561137]"
resturant302,node/2556841544,Maso Finisterre,Trento,38121,Via Santi Cosma e Damiano,6,+39 0461 825752,"[11.0987207, 46.0838336]"
resturant303,node/2573595819,"Pizzeria Ristorante ""Da Marosi""",Bolognano,38062,Via della Repubblica,22,,"[10.9049484, 45.9147122]"
resturant304,node/2574379273,Shiro,Bolzano - Bozen,39100,Corso della Libertà - Freiheitsstraße,29c,,"[11.3414678, 46.5015143]"
resturant305,node/2578549614,Hi Poke,Trento,38122,Viale Adriano Olivetti,2,+39 0461 415952,"[11.1150025, 46.0622349]"
resturant306,node/2589666378,Wok For You,Trento,38121,Via Luigi Brugnara,4,+39 0461 1596994,"[11.1175801, 46.0885229]"
resturant307,node/2610571105,Ristorante Pizzeria La Cianò,Badia - Abtei,39030,Strada Boscdaplan,25,,"[11.9042119, 46.5875922]"
resturant308,node/2616694243,Rosmarin,Sand in Taufers - Campo Tures,39032,Josef-Jungmann-Straße - Via Josef Jungmann,1,,"[11.9521336, 46.9183717]"
resturant309,node/2621304850,Agritur alle Gorghe,Vigo Meano,38121,Strada alle Gorghe,17,+39 0461 448268,"[11.1394211, 46.1317785]"
resturant310,node/2637298757,Zushi,Trento,38122,Via del Brennero,2,+39 0461 092263,"[11.1249367, 46.075184]"
resturant311,node/2638148201,Biang Biang Ramen,Rovereto,38068,Viale Trento,77,,"[11.0409848, 45.9077164]"
resturant312,node/2638148558,SushyAmo,Rovereto,38068,Via Abetone,9,+39 0464 433155,"[11.0335328, 45.8890493]"
resturant313,node/2647941985,Biergarten Mönchshof,Pergine Valsugana,38057,Località Fratte,53,,"[11.2200064, 46.0695811]"
resturant314,node/2673313358,Locanda Le Due Travi,Trento,38122,Via del Suffragio,20,+39 0461 096502,"[11.1248756, 46.0715635]"
resturant315,node/2673313362,Caracolito,Trento,38122,Via del Suffragio,32,,"[11.1248609, 46.0714373]"
resturant316,node/2681395575,Daimer,Sand in Taufers - Campo Tures,39032,Dr. Daimerstraße,40,,"[11.9584175, 46.9184853]"
resturant317,node/2717911712,La Terrazza,Meran - Merano,39012,Freiheitsstraße - Corso della Libertà,180,,"[11.1588135, 46.6711522]"
resturant318,node/2749513999,Gasthaus Schwarzenbach - Rio Nero,Aldein - Aldino,39040,Unterradein - Redagno di Sotto,17,,"[11.3855581, 46.3362515]"
resturant319,node/2749519321,Berggasthof Kienegg,Algund - Lagundo,39022,,15,+39 0473 448 538,"[11.1048486, 46.697265]"
resturant320,node/2749543726,La Bercia,Badia - Abtei,39030,Strada Colz,13,,"[11.9033871, 46.587911]"
resturant321,node/2749548119,La Tor,Badia - Abtei,39030,Strada Colz,9/4,,"[11.9031024, 46.5882974]"
resturant322,node/2749561061,Classic Lumina,Bolzano - Bozen,39100,Via Galileo Galilei - Galileo-Galilei-Straße,10e,,"[11.3386486, 46.4870669]"
resturant323,node/2749563068,Pfarrhof,Bolzano - Bozen,39100,Via Maso della Pieve - Pfarrhofstraße,11a,,"[11.3370356, 46.4692506]"
resturant324,node/2749571289,Osteria da Marco,Bolzano - Bozen,39100,Via della Zecca - Münzbankweg,16,,"[11.3368094, 46.5014304]"
resturant325,node/2749571965,Bozner Brau,Bolzano - Bozen,39100,Piazza delle Erbe - Obstplatz,17,,"[11.3525518, 46.4993295]"
resturant326,node/2749577973,Weinboutique Lisa,Bolzano - Bozen,39100,Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse,22a,,"[11.3544859, 46.5001953]"
resturant327,node/2749581649,La Scarpetta,Bolzano - Bozen,39100,Via Aeroporto Francesco Baracca - Flughafen-Francesco-Baracca-Straße,3a,,"[11.3300116, 46.4646643]"
resturant328,node/2749582240,Bogen Bistro & Apartments,Bolzano - Bozen,39100,Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse,31,,"[11.354348, 46.5001011]"
resturant329,node/2749593211,Saint Patrick,Bolzano - Bozen,39100,Via Fago - Fagenstraße,46c,,"[11.3370933, 46.5060351]"
resturant330,node/2749594820,Tirol Pizzeria,Bolzano - Bozen,39100,Via dei Francescani - Franziskanergasse,50,,"[11.3533404, 46.5002752]"
resturant331,node/2749603779,Pizzeria Tortuga,Bolzano - Bozen,39100,Piazzetta Questore Renato Mazzoni - Polizeidirektor-Renato-Mazzoni-Platz,9,,"[11.3470288, 46.4951705]"
resturant332,node/2749635582,Depoke,Brixen - Bressanone,39042,Großer Graben - Via Bastioni Maggiori,31,,"[11.6553991, 46.716921]"
resturant333,node/2749637198,Decantei,Brixen - Bressanone,39042,Hartwiggasse - Via Hartwig,5,,"[11.6584631, 46.7151716]"
resturant334,node/2749638297,Carma,Brixen - Bressanone,39042,Brennerstraße - Via Brennero,6c,,"[11.6559413, 46.7199467]"
resturant335,node/2749655201,Simos Firehouse,Bruneck - Brunico,39031,Rienzfeldstraße - Campi della Rienza,46 B,,"[11.9339207, 46.8025973]"
resturant336,node/2749655456,Weisses Lamm,Bruneck - Brunico,39031,Stuckstraße - Via Stuck,5,,"[11.9405341, 46.7962464]"
resturant337,node/2749657156,Rienzbräu,Bruneck - Brunico,39031,Stegener Straße - Via Stegona,8b,,"[11.9362714, 46.7972115]"
resturant338,node/2749682624,Wagger,Deutschnofen - Nova Ponente,39050,Hennewinkl,12,,"[11.5227294, 46.3961618]"
resturant339,node/2749683606,Rider Hotel & Steakhouse,Deutschnofen - Nova Ponente,39050,Rauth - Novale,19,,"[11.4962134, 46.3869249]"
resturant340,node/2749685012,Weigler Schupf,Deutschnofen - Nova Ponente,39050,Obereggen,35a,,"[11.5407129, 46.3581878]"
resturant341,node/2749685330,Absam Restaurant,Deutschnofen - Nova Ponente,39050,Obereggen,40,,"[11.5305969, 46.3668544]"
resturant342,node/2749685677,Petersberger Leger Alm - Malga Monte San Pietro,Deutschnofen - Nova Ponente,39050,Weißenstein - Pietralba,5,+39 338 68 70747,"[11.4238118, 46.3808404]"
resturant343,node/2749697639,Stroblhof,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Pigenoer Weg - Via Piganò,25,,"[11.2492065, 46.4496217]"
resturant344,node/2749699039,Pizzeria Gaiser,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Runggweg - Strada Ronco,3,,"[11.2878983, 46.4592728]"
resturant345,node/2749701673,Restaurant Sparerhof,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Bozner Straße - Via Bolzano,43,,"[11.2855189, 46.4789576]"
resturant346,node/2749706037,Zum Schenk,Eppan an der Weinstraße - Appiano sulla Strada del Vino,39057,Sepp-Kerschbaumer-Straße - Via Sepp Kerschbaumer,8,,"[11.2966063, 46.4775463]"
resturant347,node/2749726876,Gasthaus Egg,Freienfeld - Campo di Trens,39040,Egg,8,,"[11.4857553, 46.8464467]"
resturant348,node/2749734695,Hotel Restaurant Oberleiter,Gais,39030,Tauferer-Straße - Via Taufers,11,,"[11.9482509, 46.8644884]"
resturant349,node/2749757910,Alpenhof Bergkristall,Graun im Vinschgau - Curon Venosta,39027,Altdorfstraße - Via Paese Vecchio,35,,"[10.4774579, 46.8048791]"
resturant350,node/2749757953,Schöneben Hütte,Graun im Vinschgau - Curon Venosta,39027,Altdorfstraße - Via Paese Vecchio,38,,"[10.491183, 46.8050368]"
resturant351,node/2749758236,Pizzeria Hans,Graun im Vinschgau - Curon Venosta,39027,Hauptstraße - Via Nazionale,54,,"[10.5052633, 46.847404]"
resturant352,node/2749759274,Zum Graf,Gsies - Valle di Casies,39030,Gsieser Straße - Via Casies,1a,,"[12.1948331, 46.7811841]"
resturant353,node/2749760801,Panorama Bistro Meran 2000,Hafling - Avelengo,39010,Piffingerweg - Via Piffing,23,,"[11.2541522, 46.6776855]"
resturant354,node/2749765343,Pizzeria Restaurant Tempele,Innichen - San Candido,39038,Winnebacher Straße - Via Prato Alla Drava,1,,"[12.3679742, 46.7399243]"
resturant355,node/2749766494,In`s Kupferdachl,Innichen - San Candido,39038,Sextner Straße - Via Sesto,20a,,"[12.2805424, 46.7303586]"
resturant356,node/2749766832,Pizzeria Ristorante Sportzentrum,Innichen - San Candido,39038,Am Erschbann - Via Pascolo,3,,"[12.2778305, 46.7291057]"
resturant357,node/2749768008,Restaurant Hotel Walter,Innichen - San Candido,39038,Pustertaler Straße - Via Pusteria,9a,,"[12.2735846, 46.7338721]"
resturant358,node/2749772773,Restaurant Ritterhof,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Weinstraße - Strada del Vino,1,,"[11.2490804, 46.4150124]"
resturant359,node/2749772911,Steffelehof,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Heppenheimer Straße - Via Heppenheim,11,,"[11.2335215, 46.4184006]"
resturant360,node/2749773062,Speckkeller,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Oberplanitzing - Pianizza di Sopra,13,,"[11.2493608, 46.4359157]"
resturant361,node/2749773072,Wastlhof,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Vialweg - Via Vial,13,,"[11.2371594, 46.4199517]"
resturant362,node/2749773842,Niklaserkeller,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Strengen,17,,"[11.2333013, 46.4172099]"
resturant363,node/2749776367,Dorfgasthaus Linde,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Heppenheimer Straße - Via Heppenheim,6,,"[11.2326508, 46.4178565]"
resturant364,node/2749776899,Biergarten Kaltern,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,39052,Unterplanitzing,7,,"[11.2523469, 46.4241394]"
resturant365,node/2755692063,Sattler Schwaige,Kastelruth - Castelrotto,39040,Joch,12,,"[11.6297509, 46.5151462]"
resturant366,node/2755692404,Huber Schwaige,Kastelruth - Castelrotto,39040,Compatsch,14,,"[11.6138637, 46.5406829]"
resturant367,node/2755693152,Tuene Hütte- Baita Tuene,Kastelruth - Castelrotto,39040,Saltria,17,,"[11.6394644, 46.5377234]"
resturant368,node/2755695159,Almrosenhütte,Kastelruth - Castelrotto,39040,Joch,25,,"[11.6460984, 46.5162657]"
resturant369,node/2755695924,Sporthütte,Kastelruth - Castelrotto,39040,Tioslerweg - Via Tiosler,3,,"[11.5652904, 46.5671173]"
resturant370,node/2755696092,Liftstüberl,Kastelruth - Castelrotto,39040,Marinzenweg - Via Marinzen,35,,"[11.562718, 46.5635142]"
resturant371,node/2755696485,Santner's,Kastelruth - Castelrotto,39040,Schlernstraße - Via Sciliar,39,,"[11.5637138, 46.5402793]"
resturant372,node/2755698501,Restaurant Pizzeria Almstüberl,Kastelruth - Castelrotto,39040,Compatsch,44,,"[11.6183454, 46.5403773]"
resturant373,node/2755699101,Nordic Bar,Kastelruth - Castelrotto,39040,Compatsch,62/2,,"[11.6178968, 46.5421954]"
resturant374,node/2755699223,Tschötsch Alm,Kastelruth - Castelrotto,39040,Compatsch,70,,"[11.6142687, 46.5490577]"
resturant375,node/2755699238,Messner Schwaige,Kastelruth - Castelrotto,39040,Compatsch,75,,"[11.6203354, 46.5582987]"
resturant376,node/2755710517,Park Hotel Post,Klausen - Chiusa,39043,Tinneplatz - Piazza Tinne,3,,"[11.565485, 46.6391914]"
resturant377,node/2755758502,Schlunther Hof,Laives - Leifers,39055,Via la Costa - Seitnerstraße,29,,"[11.3459927, 46.4581726]"
resturant378,node/2755796908,Rössl,Meran - Merano,39012,Gampenstraße - Via delle Palade,105,,"[11.1487934, 46.6564774]"
resturant379,node/2755797178,Laubenkeller,Meran - Merano,39012,Laubengasse - Via Portici,118,,"[11.1629213, 46.6718405]"
resturant380,node/2755799138,La Bruschetta,Meran - Merano,39012,Romstraße - Via Roma,144,,"[11.1631013, 46.662529]"
resturant381,node/2755800364,Bar Trattoria Mainardo,Meran - Merano,39012,Meinhardstraße - Via Mainardo,19,,"[11.1576059, 46.6726283]"
resturant382,node/2755801980,Mediterraneo,Meran - Merano,39012,Meinhardstraße - Via Mainardo,22f,,"[11.158956, 46.6728782]"
resturant383,node/2755802005,Restaurant & Tapas Bar THE GALLERY,Meran - Merano,39012,Alpinistraße - Via Alpini,23,,"[11.1541823, 46.6726663]"
resturant384,node/2755802804,Augustiner,Meran - Merano,39012,Laubengasse - Via Portici,266,,"[11.1604415, 46.6720778]"
resturant385,node/2755811424,Sissi - Andrea Fenoglio,Meran - Merano,39012,Galileo-Galilei-Straße - Via Galileo Galilei,44,,"[11.1623301, 46.6728897]"
resturant386,node/2755867140,Riff'a Ski & Sky Restaurant,Mareo - Marebbe - Enneberg,39030,Strada Chi Vai,22,,"[11.9469416, 46.7092878]"
resturant387,node/2755867356,Ücia Picio Pré,Mareo - Marebbe - Enneberg,39030,Strada Furcia,30,,"[11.9697825, 46.7178269]"
resturant388,node/2755882364,Wargerhof,Mölten - Meltina,39010,Schlaneider Straße - via Schlaneider,12,,"[11.2484137, 46.5881803]"
resturant389,node/2755884418,Planitzer Buschenschank,Montan - Montagna,39040,Glen - Gleno,25,,"[11.2977814, 46.3172284]"
resturant390,node/2755886159,Gasthof Innerhütt,Moos in Passeier - Moso in Passiria,39013,,99,+39 0473 646818,"[11.1303242, 46.810965]"
resturant391,node/2755886231,Bacherhütte,Mühlbach - Rio di Pusteria,39037,Kleinberg,1,,"[11.6745135, 46.8408009]"
resturant392,node/2755886946,Pichlerhütte,Mühlbach - Rio di Pusteria,39037,Kleinberg,2,,"[11.6787129, 46.8443061]"
resturant393,node/2755886974,Ansitz Straßhof,Mühlbach - Rio di Pusteria,39037,Straßhof,2,,"[11.6632009, 46.7956353]"
resturant394,node/2755894303,Steinraffler,Natz-Schabs - Naz-Sciaves,39040,Unterrain,1,,"[11.6505932, 46.7495261]"
resturant395,node/2755894949,Plattnerhof Hofschenke,Natz-Schabs - Naz-Sciaves,39040,St.-Magdalena-Straße - Via S. Maddalena,41,+39 380 8939249,"[11.6843475, 46.7655856]"
resturant396,node/2755897134,Gsteigerhof - Maso Gsteiger,Neumarkt - Egna,39044,Bergstraße - Via del Monte,4,,"[11.3012963, 46.3047438]"
resturant397,node/2755901818,Pizzeria Friedheim,Olang - Valdaora,39030,Hans-V.-Perthaler-Straße  - Via Hans Via Perthaler,10,,"[12.0338884, 46.7612141]"
resturant398,node/2755905888,Pizzeria Spotti,Partschins - Parcines,39020,Zielstraße - Via Ziel,5,,"[11.0610351, 46.6773288]"
resturant399,node/2755907305,Gasthaus Moar,Percha - Perca,39030,St.-Nikolaus-Straße - St. Nikolaus,6,,"[11.9995314, 46.8147947]"
resturant400,node/2755909108,Sportbar,Pfalzen - Falzes,39030,Sportzone - Zona Sportiva,2,,"[11.8817818, 46.8069002]"
resturant401,node/2755930606,Berggasthaus Mudler,Rasen-Antholz - Rasun Anterselva,39030,Imberg,10,,"[12.084322, 46.7826799]"
resturant402,node/2755941729,Am Gleis,Ritten - Renon,39054,Dorf - Paese,36,,"[11.4114131, 46.5301811]"
resturant403,node/2755941920,Pfoshof,Ritten - Renon,39054,Oberlengmoos,4a,,"[11.4660889, 46.5476074]"
