Comune;Provincia;Categoria;Denominazione struttura;Indirizzo;Frazione;CAP;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Denominazione ente annuario;Tipologia alberghiera;Tipologia servizio;Codice esercizio ricettivo;Partita IVA;Codice localita;Altitudine;Numero unita;Numero posti letto;Prezzo massimo letto aggiunto;Tipologia unita;Posti letto;Prezzo;Prezzo massimo consumazione pasto;Codice;Servizi;Denominazione dipendenza;Comune dipendenza;Frazione dipendenza;Indirizzo dipendenza;Categoria dipendenza;Prezzo massimo letto aggiunto dipendenza;Prezzo massimo consumazione pasto dipendenza;Tipologia unita dipendenza;Posti letto dipendenza;Prezzo dipendenza
GRIGNO;TRENTO;1-stella;DA REMO;VIA MASETTO VECCHIO, 59;TEZZE DI GRIGNO;38055;0461-769190;0461-769171;albergodaremo@alice.it;;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1199396;2190790226;50000302;236;11;22;25.00;camera-con-bagno;2;65.00;17.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
GRIGNO;TRENTO;nessuna-stella;LA NUOVA CONCA D'ORO;VIA VITTORIO EMANUELE, 33;;38055;0461-765430;;albergo.concadoro@alice.it;;A.P.T. VALSUGANA - TESINO;garni;solo-pernottamento;1387479;1276030226;411;263;18;22;39.00;bicamera-con-bagno;;;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
IMER;TRENTO;1-stella;MIRAMONTI;VIA DOLOMITI, 40;;38050;0439-67127;0439-67127;info@hotelmiramontimer.com;www.hotelmiramontimer.com;A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO;albergo;pensione-completa;1485291;10844920224;413;670;24;46;30.00;camera-senza-bagno;1;50.00;15.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
IMER;TRENTO;2-stelle;AL LAGO;VIA NAZIONALE, 9;PONTET;38050;0439-678090;0439-678090;albergo.al.lago@gmail.com;www.albergoallago.it;A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO;albergo;pensione-completa;1146531;352300222;9363;566;16;25;30.00;bicamera-con-bagno;;;16.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
IMER;TRENTO;3-stelle;AL BIVIO;VIA NAZIONALE, 167;;38050;0439-67080;0439-67660;info@bikedolomite.com;www.bikedolomite.com;A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO;albergo;pensione-completa;1477397;661260224;413;670;22;44;50.00;bicamera-con-bagno;;;30.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
IMER;TRENTO;3-stelle;MIRAVALLE;VIA NAZIONALE, 213;;38050;0439-725100;0439-725110;info@hotelmiravalle.com;www.hotelmiravalle.com;A.P.T. S.MARTINO DI CASTROZZA E PRIMIERO;albergo;pensione-completa;1388393;1631080221;413;670;11;21;30.98;bicamera-con-bagno;;;12.91;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;1-stella;SOGGIORNO ALPINO;VIA THIENE, 22;CAPPELLA;38046;0464-783145;068-411324;francof@maristimediterranea.com;www.maristi.it/lavarone;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1265846;1082871003;9406;1180;59;106;15.00;camera-con-bagno;1;35.00;30.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);VILLA PAOLA (DIP. SOGGIORNO ALPINO);LAVARONE;CAPPELLA;VIA THIENE, 22;1-stella;15.00;30.00;camera-con-bagno;1;34.00
LAVARONE;TRENTO;2-stelle;BELLARIA;FR. GIONGHI, 28;GIONGHI;38046;0464-783221;0464-783221;info@albergobellaria.it;www.albergobellaria .it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1378970;498130228;9404;1165;14;25;24.00;bicamera-con-bagno;;;16.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;2-stelle;CLUB 21;FRAZ. AZZOLINI, 80;AZZOLINI;38046;0464-783213;0464-783213;info@club21lavarone.it;www.club21lavorone.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;garni;prima-colazione;289660529;2688540042;9411;1170;15;25;;bicamera-con-bagno;;;;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);;;;;;;;;;
LAVARONE;TRENTO;2-stelle;FIOR DI ROCCIA;FRAZIONE GIONGHI, 30;GIONGHI;38046;0464-783138;0464-783138;;;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1417171;2058160223;9404;1165;14;25;33.00;camera-con-bagno;1;46.00;17.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LAVARONE;TRENTO;2-stelle;NAZIONALE;PIAZZA MILANO, 6;CAPPELLA;38040;0464-783245;0464-783245;info@albergonazionale.com;;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;garni;prima-colazione;1383183;42860221;9406;1180;8;21;10.00;appartamento;2;95.00;;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;ALB. CERVO - RISTOR. STUBE DEL CERVO LAVARONE WELLNESS;PIAZZA MILANO, 2 - VIA MARCONI 2-4-6 E;CAPPELLA;38046;0464-783237;0464-783794;info@albergocervolavarone.it;www.albergocervolavarone.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1171529;2440140222;9406;1180;34;70;45.00;bicamera-con-bagno;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;ALBERGO ESPERIA;PIAZZA ITALIA, 29;CHIESA;38046;0464-783464;0464-783464;albergoesperia29@gmail.com;;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1248380;2308980222;9415;1171;16;25;30.00;camera-con-bagno;1;45.00;25.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;ALBERGO MIRAMONTI;FRAZ. GIONGHI, 1;GIONGHI;38046;0464-783129;0464-783105;info@miramontilavarone.com;www.miramontilavarone.com;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1238493;335480224;9404;1165;30;55;45.00;camera-con-bagno;1;80.00;20.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);MIRAMONTI (DIP);LAVARONE;GIONGHI;FRAZ. GIONGHI, 5;1-stella;40.50;18.00;camera-senza-bagno;1;44.00
LAVARONE;TRENTO;3-stelle;ANTICO;PIAZZA MILANO, 11;CAPPELLA;38040;0464-783163;0464-780892;info@albergoantico.it;www.albergoantico.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;garni;prima-colazione;1241986;152020228;9406;1180;15;25;30.00;camera-con-bagno;1;40.00;16.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;BERTOLDI;PIAZZA ITALIA, 9;CHIESA;38046;0464-783165;0464-780766;info@albergobertoldi.it;www.albergobertoldi.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1243377;1273590222;9415;1171;14;25;45.00;jr-suite;;;22.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;CAMINETTO;FRAZIONE BERTOLDI, 60;BERTOLDI;38046;0464-783214;0464-780668;info@hotelcaminetto.eu;www.hotelcaminetto.eu;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1432302;147120224;9413;1200;18;47;40.00;jr-suite;;;22.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;CORONA - OSTERIA VIA DELL'ANCINO;VIA ROMA, 6;CHIESA;38046;0464-783232;0464-783847;info@albergocoronalavarone.it;www.albergocoronalavarone.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1329929;2214960227;9415;1171;17;29;30.00;camera-con-bagno;1;37.00;17.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;DA VILLA;VIALE DOLOMITI, 6;CHIESA;38046;0464-783116;0464-783227;info@hoteldavilla.com;www.hoteldavilla.com;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1221737;698610227;9415;1171;20;40;40.00;bicamera-con-bagno;;;18.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;HOTEL AL LAGO;VIA LAGO, 21;CHIESA;38046;0464-783222;0464-783042;info@hotelallago.eu;www.hotelallago.eu;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1248520;698640224;9415;1171;14;24;40.00;suite;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;HOTEL CIMONE;FRAZ. BERTOLDI, 61;BERTOLDI;38046;0464-784128;0464-780120;info@cimonehotel.it;www.cimonehotel.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1394218;1572290227;9413;1200;36;80;60.00;jr-suite;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;HOTEL DU LAC;VIA TRIESTE, 32;CHIESA;38046;0464-783112;0464-784204;info@dulachotel.info;www.dulachotel.info;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1168646;2068950225;9415;1171;41;79;35.00;jr-suite;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;HOTEL MONTE RUST;VIA TRENTO, 1;CHIESA;38046;0464-783140;0464-783720;info@hotelmonterust.it;www.hotelmonterust.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1233005;1376170229;9415;1171;29;56;60.00;bicamera-con-bagno;;;35.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);;;;;;;;;;
LAVARONE;TRENTO;3-stelle;IL MURETTO;FRAZ. BERTOLDI, 5/B;BERTOLDI;38046;0464-783523;0464-783523;info@garnimuretto.it;www.garnimuretto.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;garni;prima-colazione;1329582;644130221;9413;1200;20;46;25.00;bicamera-con-bagno;;;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;MONTEVERDE;FRAZIONE GIONGHI, 112;GIONGHI;38046;0464-783174;0464-783892;info@hotelmonteverde.it;www.hotelmonteverde.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1418207;1097540221;9404;1165;55;99;25.00;suite;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;NIDO VERDE;VIA TRIESTE, 33;CHIESA;38046;0464-783151;0464-783800;info@nidoverde.it;www.nidoverde.it;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1325869;1407650223;9415;1171;12;23;35.00;camera-con-bagno;1;60.00;30.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;RESIDENCE HOTEL CAPRIOLO;FRAZIONE STENGHELI, 102;BERTOLDI;38046;0464-783187;0464-780689;infotiscali@residencehotelcapriolo.com;www.residencehotelcapriolo.com;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;rta;prima-colazione;1124019;1854310222;9413;1200;14;25;25.00;appartamento;1;50.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;ROMANDA;VIA TRIESTE, 27;CHIESA;38046;0464-783135;0464-783031;info@hotelromanda.net;www.hotelromanda.net;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1328453;2316000229;9415;1171;21;42;30.00;camera-con-bagno;2;80.00;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;3-stelle;TANA DELLA VOLPE;VIA VILLANOVA, 2;CAPPELLA;38046;0464-783261;0464-663734;info@tanadellavolpe.com;www.tanadellavolpe.com;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;rta;solo-pernottamento;1471306;1189600222;9406;1180;11;25;30.00;appartamento;2;170.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVARONE;TRENTO;4-stelle;GRAND HOTEL ASTORIA;PIAZZA ITALIA, 1;CHIESA;38046;0464-784065;0464-780828;amministrazione@chincherini.com;www.chincherini.com;A.P.T. ALTIPIANI DI FOLGARIA LAVARONE LUSERNA;albergo;pensione-completa;1412986;2123130227;9415;1171;49;89;80.00;suite;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LAVIS;TRENTO;1-stella;CORONA;PIAZZA MANCI, 4;;38015;0461-246772;0461-246772;hotelcorona.lavis@alice.it;www.hotelcoronalavis.it;CONSORZIO TURISTICO PIANA ROTALIANA KOENIGSBERG;garni;prima-colazione;1229280;1097110223;419;232;15;25;20.00;camera-senza-bagno;1;35.00;;STANN45;TV in tutte le camere;;;;;;;;;;
LAVIS;TRENTO;1-stella;MOSER;VIA NAZIONALE, 64;NAVE SAN FELICE;38010;0461-870248;0461-870707;albergomoser@alice.it;;CONSORZIO TURISTICO PIANA ROTALIANA KOENIGSBERG;albergo;pensione-completa;1518892;50030220;9446;208;18;32;20.00;camera-senza-bagno;1;25.00;15.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);;;;;;;;;;
LAVIS;TRENTO;3-stelle;HOTEL ALLA NAVE;VIA NAZIONALE, 29;NAVE SAN FELICE;38015;0461-870111;0461-870131;info@hotelallanave.it;www.hotelallanave.it;CONSORZIO TURISTICO PIANA ROTALIANA KOENIGSBERG;albergo;pensione-completa;1382671;866840226;9446;208;48;88;25.00;camera-con-bagno;1;60.00;30.00;STANN07;Ascensore per tutti i piani;HOTEL ALLA NAVE - DIPENDENZA;LAVIS;NAVE SAN FELICE;VIA NAZIONALE, 34;2-stelle;20.00;30.00;bicamera-con-bagno;;
LAVIS;TRENTO;4-stelle;HOTEL SARTORI'S;VIA NAZIONALE, 33;;38015;0461-246563;0461-240161;info@sartorishotel.com;www.sartorishotel.com;CONSORZIO TURISTICO PIANA ROTALIANA KOENIGSBERG;albergo;pensione-completa;1389829;100810225;419;232;40;80;34.00;suite;2;221.00;41.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;1-stella;IDEAL;VIALE D.GIANNETTINI, 5;;38056;0461-706701;0461-866470;infoideal@idealevico.it;idealevico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1311004;1098380221;420;506;25;42;25.00;camera-senza-bagno;1;30.00;15.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LEVICO TERME;TRENTO;1-stella;MIRAVALLE;VIALE VENEZIA, 78;;38056;0461-700080;0461-706170;info@hotelmiravalle-levico.it;www.hotelmiravalle-levico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1358419;2391020225;420;506;13;23;15.00;camera-senza-bagno;;;20.00;STANN28;Parcheggio (assicurato per almeno il 50% delle unit� abitativa);;;;;;;;;;
LEVICO TERME;TRENTO;2-stelle;ALBERGO NAZIONALE;PIAZZA DELLA CHIESA, 1;;38056;0461-706143;;albergo.nazionale@gmail.com;;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1364441;620229;420;506;14;25;28.00;camera-con-bagno;1;40.00;16.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LEVICO TERME;TRENTO;2-stelle;AL BRENTA;VIA BRENTA, 33;;38056;0461-706131;0461-708151;info@albrenta.com;www.albrenta.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1125280;2143660229;420;506;18;36;30.00;camera-con-bagno;1;42.00;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;2-stelle;GARDEN;VIA V.EMANUELE, 22;;38056;0461-706022;0461-707899;hoteldolomitilevico@libero.it;;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1356817;1332270220;420;506;22;36;30.00;camera-senza-bagno;1;35.00;20.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;2-stelle;VECCHIA FATTORIA;VIA PER CALDONAZZO, 27;;38056;0461-706408;178-22000015525;info@albergovecchiafattoria.it;www.albergovecchiafattoria.it;A.P.T. VALSUGANA - TESINO;garni;prima-colazione;1210449;1408860227;420;506;13;25;36.00;camera-con-bagno;1;47.00;;;;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;AARITZ;VIALE ROMA, 53;;38056;0461-706427;0461-706320;info@hotelcristallo.trentino.it;www.hotelaaritztrentino.it;A.P.T. VALSUGANA - TESINO;garni;prima-colazione;1134921;1723120224;420;506;23;49;50.00;camera-con-bagno;2;160.00;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;ACLER;VIA MONS.CAPRONI, 36;;38056;0461-706167;0461-701790;albergoacler@trentino.net;www.albergoacler.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1122469;1385820228;420;506;44;75;40.00;camera-con-bagno;1;69.00;27.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;ALBERGO SANDRO;VIA MONS.CAPRONI, 33;;38056;0461-706164;0461-702164;info@denart.it;www.hotelsandrolevico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1246054;2460500222;420;506;38;73;40.00;bicamera-con-bagno;;;25.00;STANN43;Terrazza o giardino solarium;SANDRO (DIP);LEVICO TERME;;VIA MONS.CAPRONI,33;1-stella;30.00;25.00;camera-senza-bagno;1;40.00
LEVICO TERME;TRENTO;3-stelle;AL SALUS;VIA PIGIO, 3/5;;38056;0461-706328;0461-701823;info@albergoalsalus.it;www.albergoalsalus.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1376426;1465730222;420;506;22;38;51.00;camera-con-bagno;1;75.00;40.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;ANTICA ROSA;VIA GARIBALDI, 15;;38056;0461-706154;0461-701801;info@anticarosa.it;www.anticarosa.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1229575;1424290227;420;506;41;75;35.00;camera-senza-bagno;1;40.00;18.00;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;ARISTON;VIA BELVEDERE, 56;;38056;0461-701482;0461-701851;info@ariston-hotel.tn.it;www.ariston-hotel.tn.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1167332;1385790223;420;506;56;101;45.00;camera-con-bagno;1;95.00;25.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;B612 HOTEL;VIA TRAVERSA LIDO, 4;;38056;;;info@b612hotel.it;www.b612hotel.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1225719;2307280228;420;506;44;115;32.00;appartamento;2;0.00;15.49;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;BIO GARNI' MONDINOVO;VIA GEDEONE DE VETTORAZZI, 8;;38056;0461-706167;0461-701790;info@mondinovo.it;www.mondinovo.it;A.P.T. VALSUGANA - TESINO;garni;prima-colazione;232632524;1385820228;420;506;7;16;50.00;bicamera-con-bagno;;;;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;CONCORDIA;VIA V.EMANUELE, 1;;38056;0461-706230;0461-701775;info@hotelconcordialevico.it;www.hotelconcordialevico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1435074;53610226;420;506;47;87;46.00;camera-con-bagno;1;67.00;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;DOLOMITI;VIA TRAVERSA LIDO, 28;;38056;0461-706022;0461-707899;hoteldolomitilevico@libero.it;www.hoteldolomitilevico.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1145254;1067160224;420;506;75;149;34.00;bicamera-con-bagno;;;15.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;EDEN LIBARDI;VIA V.EMANUELE, 18;;38056;0461-706103;0461-706680;info@eden-hotel.com;www.eden-hotel.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1309277;514050228;420;506;39;82;60.00;suite;;;35.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;FAMILY PRIMAVERA;VIA CLAUDIA AUGUSTA, 3;;38056;0461-706193;0461-706376;info@familyhotelprimavera.it;www.familyhotelprimavera.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1212968;1269950224;420;506;30;60;50.00;camera-con-bagno;2;110.00;20.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;FLORIDA;VIA SEGANTINI, 20;;38056;0461-706400;0461-706132;info@floridahotel.it;www.floridahotel.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1259248;1385810229;420;506;58;120;60.00;jr-suite;;;25.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;HOTEL DANIELA;VIALE VENEZIA, 3;;38056;0461-706213;0461-708158;info@hoteldaniela.it;www.hoteldaniela.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1382865;1139230229;420;506;35;68;64.00;jr-suite;;;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;HOTEL LEVICO;VIA V.EMANUELE, 54;;38056;0461-706335;0461-701760;info@hotellevico.com;www.hotellevico.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1176335;1639030228;420;506;43;68;51.00;camera-senza-bagno;;;40.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;HOTEL MIRALAGO;VIALE TRENTO, 22;;38056;0461-706359;0461-701582;info@antoniollihotels.com;www.antoniollihotels.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1511307;1816020224;420;506;28;47;40.28;bicamera-con-bagno;;;15.49;STANN43;Terrazza o giardino solarium;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;HOTEL ROMA;VETRIOLO TERME;VETRIOLO;38056;0461-707910;0461-708590;info@hotelromalevicoterme.it;www.hotelromalevicoterme.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1481789;629910225;9467;1500;40;79;45.00;camera-con-bagno;1;45.00;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;HOTEL VILLA REGINA;VIALE VITTORIO EMANUELE, 8;;38056;0461-707713;0461-701560;info@hotel-villaregina.it;www.hotel-villaregina.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1247769;631880226;420;506;25;58;45.00;jr-suite;;;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;LA PACE;VIALE ROMA, 9;;38056;0461-706117;;info@hotellapacelevico.it;www.hotellapacelevico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1245645;21480223;420;506;37;78;29.00;camera-con-bagno;1;45.00;23.00;STANN43;Terrazza o giardino solarium;LA PACE (DIP);LEVICO TERME;;VIALE ROMA, 3;3-stelle;29.00;21.00;camera-con-bagno;1;45.00
LEVICO TERME;TRENTO;3-stelle;LIBERTY;VIALE VITTORIO EMANUELE, 18;;38056;0461-701521;0461-701818;info@hotelliberty.it;www.hotelliberty.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1261646;1165080225;420;506;32;69;50.00;camera-con-bagno;1;85.00;30.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;LUCIA;VIA ROCCHE, 44;;38056;0461-706229;0461-706452;info@luciahotel.it;www.luciahotel.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1435515;1423600228;420;506;33;58;60.00;camera-con-bagno;1;70.00;35.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;ROCCA;VIALE ROMA, 5;;38056;0461-706236;0461-707754;info@albergorocca.com;www.albergorocca.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1246585;200410223;420;506;26;48;65.00;camera-con-bagno;1;65.00;25.00;STANN43;Terrazza o giardino solarium;ROCCA (DIP);LEVICO TERME;;VIALE ROMA, 5;1-stella;65.00;25.00;camera-senza-bagno;1;50.00
LEVICO TERME;TRENTO;3-stelle;ROMANDA;VIA GARIBALDI, 5;;38056;0461-707123;0461-701710;info@hotelromanda.it;www.hotelromanda.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1326477;2393740226;420;506;40;79;90.00;bicamera-con-bagno;;;45.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;SCARANO';S.P. PER VETRIOLO, 106;;38056;0461-706810;0461-706810;info@hotelscarano.it;www.hotelscarano.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1327714;357440221;420;506;33;67;10.00;camera-con-bagno;1;55.00;22.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;SPORT;VIA SEGANTINI, 4;;38056;0461-706297;0461-707826;info@hotelsport.it;www.hotelsport.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1210864;1423850229;420;506;31;60;24.50;camera-con-bagno;1;64.00;25.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;TERMINUS;VIA SALINA, 27;;38056;0461-706453;0461-708042;info@hotelterminus.it;www.hotelterminus.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1177757;21070222;420;506;33;65;19.00;camera-con-bagno;1;40.00;15.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;VEZZENA;LOCALITA' PASSO VEZZENA, 2;VEZZENA;38056;0464-784197;0464-784197;info@hotelvezzena.com;www.hotelvezzena.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1538488;2267540223;9470;1417;51;140;60.00;camera-con-bagno;2;160.00;23.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;VILLA FLORA;VIA TONELLI, 31;;38056;0461-706311;0461-709462;info@albergovillaflora.it;www.albergovillaflora.com;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1520779;1313240226;420;506;53;97;50.00;camera-con-bagno;1;60.00;30.00;STANN14.piscina-scoperta;Piscina scoperta;;;;;;;;;;
LEVICO TERME;TRENTO;3-stelle;VITTORIA;VIA DANTE, 54;;38056;0461-706430;0461-702021;info@hotelvittorialevico.it;www.hotelvittorialevico.it;A.P.T. VALSUGANA - TESINO;albergo;pensione-completa;1252889;1319040224;420;506;33;67;60.00;camera-con-bagno;1;90.00;50.00;STANN07;Ascensore per tutti i piani;;;;;;;;;;
