Municipality                      ;Province ;Category         ;Facility Name                                                                ;Address                                               ;District                          ;Postal Code ;Phone                     ;Fax                       ;Email Address                                                      ;Website                                                                                                         ;Hotel Type              ;Service Type          ;VAT Number   ;Altitude ;Number of Units ;Number of Beds ;Max Extra Bed Price ;Unit Type              ;Beds ;Price   ;Max Meal Price ;Services
CAMPITELLO DI FASSA               ;TRENTO   ;3-stars-superior ;CREPES DE SELA                                                               ;STREDA DOLOMITES, 22                                  ;                                  ;      38031 ;0462-750538               ;0462-751528               ;info@crepesdesela.it                                               ;www.crepesdesela.it                                                                                             ;hotel                   ;full-board            ;624300224    ;    1448 ;             24 ;            50 ;              88.0  ;jr-suite               ; 2.0 ; 190.0  ;         45.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;3-stars-superior ;HOTEL LADINA                                                                 ;STREDA DE PECEI, 3                                    ;                                  ;      38031 ;0462-750501               ;0462-751836               ;info@hotelladina.it                                                ;www.hotelladina.it                                                                                              ;hotel                   ;full-board            ;2272820222   ;    1448 ;             40 ;            85 ;              84.0  ;suite                  ;     ;        ;         25.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;3-stars-superior ;HOTEL RAMON                                                                  ;STREDA SOT CIAPIAA, 4                                 ;                                  ;      38031 ;0462-750139               ;0462-750305               ;info@hotelramon.it                                                 ;www.hotelramon.it                                                                                               ;hotel                   ;full-board            ;1095290225   ;    1448 ;             28 ;            52 ;              90.0  ;room-with-bathroom     ; 1.0 ; 100.0  ;         25.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;3-stars-superior ;SALVAN                                                                       ;STREDA DOLOMITES, 10                                  ;                                  ;      38031 ;0462-750307               ;0462-750199               ;info@hotelsalvan.com                                               ;www.hotelsalvan.com                                                                                             ;hotel                   ;full-board            ;1099290221   ;    1448 ;             33 ;            64 ;              96.0  ;jr-suite               ;     ;        ;         28.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;ARITZ RESIDENCEHOTEL GARNÌ BAR TV                                            ;STREDA SOT CIAPIAA, 6                                 ;                                  ;      38031 ;0462-752100               ;0462-752200               ;aritz@residencehotel.it                                            ;www.residencehotel.it                                                                                           ;hotel                   ;bed-and-breakfast     ;2266250212   ;    1448 ;             39 ;           136 ;              70.0  ;two-room-with-bathroom ;     ;        ;               ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;GRAN PARADIS                                                                 ;STREDA DOLOMITES, 4                                   ;                                  ;      38031 ;0462-750135               ;0462-750148               ;info@granparadis.com                                               ;www.granparadis.com                                                                                             ;hotel                   ;full-board            ;1097570228   ;    1448 ;             39 ;            72 ;             100.0  ;jr-suite               ;     ;        ;         25.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;HOTEL GRAN CHALET SOREGHES - UNION HOTELS CANAZEI CAMPITELLO DI FASSA        ;STREDA DE PENT DE SERA, 18                            ;                                  ;      38031 ;0462-750060               ;0462-601527               ;info@unionhotelscanazei.it                                         ;www.unionhotelscanazei.it                                                                                       ;hotel                   ;full-board            ;1464660222   ;    1448 ;             45 ;           112 ;              59.0  ;jr-suite               ;     ;        ;         69.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;HOTEL MEDIL                                                                  ;STREDA DE PENT DE SERA, 16                            ;                                  ;      38031 ;0462-750088               ;0462-750092               ;info@hotelmedil.it                                                 ;www.hotelmedil.it                                                                                               ;hotel                   ;full-board            ;645490228    ;    1448 ;             45 ;            91 ;              66.0  ;jr-suite               ;     ;        ;         49.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;PARK HOTEL DIAMANT UNION HOTELS CANAZEI CAMPITELLO DI FASSA                  ;STREDA SOT CIAPIAA, 5                                 ;                                  ;      38031 ;0462-750440               ;0462-601527               ;info@unionhotelscanazei.it                                         ;www.unionhotelscanazei.it                                                                                       ;hotel                   ;full-board            ;1370070227   ;    1448 ;             39 ;           108 ;              65.0  ;room-with-bathroom     ; 2.0 ; 345.0  ;         69.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;PARK HOTEL RUBINO EXECUTIVE - UNION HOTELS CANAZEI CAMPITELLO DI FASSA       ;STREDA SOT CIAPIAA, 3                                 ;                                  ;      38031 ;0462-601033               ;0462-601527               ;info@unionhotelscanazei.it                                         ;www.unionhotelscanazei.it                                                                                       ;hotel                   ;full-board            ;585020225    ;    1448 ;             37 ;           107 ;              65.0  ;jr-suite               ;     ;        ;         89.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars          ;STELLA MONTIS                                                                ;STREDA DE COL DA FAE', 56                             ;                                  ;      38031 ;0462-750310               ;0462-750425               ;info@stellamontis.it                                               ;www.stellamontis.it                                                                                             ;hotel                   ;full-board            ;1649910229   ;    1448 ;             46 ;            89 ;              85.0  ;jr-suite               ;     ;        ;         40.0  ;Elevator to all floors
CAMPITELLO DI FASSA               ;TRENTO   ;4-stars-superior ;VILLA KOFLER WONDERLAND RESORT                                               ;STREDA DOLOMITES, 63                                  ;                                  ;      38031 ;0462-750444               ;0462-751542               ;info@villakofler.it                                                ;www.villakofler.it                                                                                              ;hotel                   ;full-board            ;1903070223   ;    1448 ;             12 ;            24 ;             100.0  ;jr-suite               ; 2.0 ; 320.0  ;         45.0  ;Elevator to all floors
CANAL SAN BOVO                    ;TRENTO   ;1-star           ;LAGORAI                                                                      ;VIA  LAUSEN, 12                                       ;LAUSEN                            ;      38050 ;0439-719016               ;0439719016                ;michelilino@gmail.com                                              ;www.albergolagorai.it                                                                                           ;hotel                   ;full-board            ;1526740228   ;     749 ;             10 ;            20 ;              24.0  ;room-with-bathroom     ; 1.0 ;  36.0  ;         24.0  ;Parking (insured for at least 50% of the housing units)
CANAL SAN BOVO                    ;TRENTO   ;1-star           ;PASSO GOBBERA                                                                ;VIA PASSO GOBBERA, 16                                 ;PASSO GOBBERA                     ;      38050 ;0439-719065               ;                          ;                                                                   ;                                                                                                                ;hotel                   ;full-board            ;1315870228   ;     988 ;              9 ;            16 ;              24.01 ;room-without-bathroom  ; 1.0 ;  23.76 ;         11.36 ;
CANAL SAN BOVO                    ;TRENTO   ;1-star           ;VANOI                                                                        ;PIAZZA MARCONI, 33/34                                 ;PRADE                             ;      38050 ;0439-719012               ;0439-719012               ;albergo.vanoi@libero.it                                            ;www.vanoi.org                                                                                                   ;hotel                   ;full-board            ;1837490224   ;     899 ;             16 ;            36 ;              20.0  ;room-without-bathroom  ; 1.0 ;  25.0  ;         13.0  ;Parking (insured for at least 50% of the housing units)
CANAL SAN BOVO                    ;TRENTO   ;2-stars          ;CIMA D'ASTA                                                                  ;LOCALITA'CICONA, 1/S                                  ;CICONA                            ;      38050 ;0439-719054               ;0439-719054               ;hotelcimadasta@libero.it                                           ;www.vanoi.it/cimadasta                                                                                          ;hotel                   ;full-board            ;1083680221   ;    1000 ;             15 ;            24 ;              21.0  ;room-with-bathroom     ; 1.0 ;  35.0  ;         14.0  ;Elevator to all floors
CANAL SAN BOVO                    ;TRENTO   ;2-stars          ;SERENELLA                                                                    ;FRAZIONE ZORTEA, 56                                   ;ZORTEA                            ;      38050 ;0439719000                ;0439719707                ;info@albergoserenella.net                                          ;www.albergoserenella.net                                                                                        ;hotel                   ;full-board            ;362150229    ;    1041 ;             14 ;            35 ;              22.0  ;two-room-with-bathroom ;     ;        ;         18.0  ;Elevator to all floors
CANAL SAN BOVO                    ;TRENTO   ;3-stars          ;AL PIN                                                                       ;VIA SPERANDII, 111                                    ;CAORIA                            ;      38050 ;0439-710265               ;0439-609042               ;info@albergo-alpin.it                                              ;www.albergo-alpin.it                                                                                            ;hotel                   ;full-board            ;1881100224   ;     817 ;             12 ;            26 ;              36.0  ;two-room-with-bathroom ;     ;        ;         18.0  ;Elevator to all floors
CANAL SAN BOVO                    ;TRENTO   ;no-stars         ;VILLANUOVA                                                                   ;VIA NUOVA, 1                                          ;PRADE                             ;      38050 ;0439-719008               ;                          ;                                                                   ;                                                                                                                ;hotel                   ;full-board            ;294540224    ;     899 ;              4 ;             7 ;               8.0  ;room-without-bathroom  ; 1.0 ;  25.16 ;         12.91 ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;1-star           ;CIAMORC                                                                      ;STRADA (VIA) DE DOLAVILA, 74                          ;                                  ;      38032 ;0462-602426               ;0462-602426               ;info@garniciamorc.it                                               ;www.fassa.com/IT/Ciamorc/                                                                                       ;hotel                   ;bed-and-breakfast     ;1044060224   ;    1465 ;             10 ;            18 ;              42.0  ;room-with-bathroom     ; 1.0 ;  50.0  ;               ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;1-star           ;GIARDINO DELLE ROSE                                                          ;STRADA  DOLOMITES, 126                                ;                                  ;      38032 ;0462-601616               ;0462-606966               ;giardinodellerosecanazei@hotmail.it                                ;                                                                                                                ;hotel                   ;full-board            ;1099980227   ;    1465 ;              9 ;            20 ;               5.0  ;bicamera-senza-bagno   ;     ;        ;         13.0  ;
CANAZEI                           ;TRENTO   ;1-star           ;HIRSCH                                                                       ;STRADA (VIA) DEL FAURE, 4                             ;                                  ;      38032 ;0462-601319               ;0462-601066               ;                                                                   ;www.fassa.com/IT/Hirsch/                                                                                        ;hotel                   ;bed-and-breakfast     ;309890226    ;    1465 ;             12 ;            25 ;              35.0  ;room-with-bathroom     ; 2.0 ;  61.98 ;               ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;1-star           ;HOTEL PORDOI                                                                 ;STREDA DE PORDOI, 126                                 ;PASSO PORDOI                      ;      38032 ;0462-601115               ;0462-602647               ;hotelpordoi@gmail.com                                              ;hotelpordoi.eu                                                                                                  ;hotel                   ;full-board            ;2365020227   ;    2237 ;             28 ;            58 ;              15.0  ;room-without-bathroom  ; 2.0 ; 140.0  ;         30.0  ;Sport fishing lake
CANAZEI                           ;TRENTO   ;1-star           ;MAJORKA                                                                      ;STREDA DE SORAPERA, 67                                ;ALBA                              ;      38030 ;0462-601163               ;0462-606504               ;info@albergomajorka.com                                            ;www.albergomajorka.com                                                                                          ;hotel                   ;bed-and-breakfast     ;231180225    ;    1517 ;             13 ;            25 ;              42.0  ;room-without-bathroom  ; 1.0 ;  70.0  ;               ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;1-star           ;MARGONI                                                                      ;STRADA (VIA) DO RUF DE ANTERMONT 33                   ;                                  ;      38032 ;0462-601123               ;0462-606833               ;                                                                   ;www.albergomargoni.com                                                                                          ;hotel                   ;full-board            ;1853550224   ;    1465 ;             25 ;            40 ;              28.0  ;room-without-bathroom  ; 1.0 ;  40.0  ;         15.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;1-star           ;SERENA                                                                       ;STRADA (VIA) DEL FAURE, 24                            ;                                  ;      38032 ;0462-601340               ;                          ;garniserena@libero.it                                              ;www.garniserena.freshcreator.com                                                                                ;hotel                   ;bed-and-breakfast     ;1953760228   ;    1465 ;             14 ;            24 ;              42.0  ;room-with-bathroom     ; 1.0 ;  46.0  ;               ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;2-stars          ;ALBERGO CENTRALE                                                             ;STREDA (VIA) DOLOMITES, 128                           ;                                  ;      38032 ;0462-602340               ;0462-602340               ;info@albergo-centrale.net                                          ;www.albergo-centrale.net                                                                                        ;hotel                   ;full-board            ;1794840221   ;    1465 ;             10 ;            20 ;              40.0  ;room-with-bathroom     ; 2.0 ; 100.0  ;         25.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;AURORA                                                                       ;STRADA (VIA) DE COSTA, 240                            ;ALBA                              ;      38030 ;0462-601261               ;0462-601029               ;info@hotelauroracanazei.it                                         ;www.hotelauroracanazei.it                                                                                       ;hotel                   ;full-board            ;665860227    ;    1517 ;             28 ;            55 ;              65.0  ;room-with-bathroom     ; 1.0 ;  78.0  ;         38.0  ;Gym
CANAZEI                           ;TRENTO   ;2-stars          ;CANAZEI                                                                      ;STREDA (VIA) DE PAREDA, 34                            ;                                  ;      38032 ;0462-601598               ;0462-606112               ;info@albergocanazei.it                                             ;www.albergocanazei.it                                                                                           ;hotel                   ;full-board            ;334970225    ;    1465 ;             20 ;            44 ;              46.0  ;room-with-bathroom     ; 1.0 ;  54.0  ;         18.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;2-stars          ;CHALET VALERUZ                                                               ;STREDA (VIA) FRANZ DANTONE, 17                        ;                                  ;      38032 ;0462-601581               ;0462-602308               ;chaletvaleruz@hotmail.com                                          ;www.chaletvaleruz.it                                                                                            ;hotel                   ;full-board            ;16533490225  ;    1465 ;             13 ;            22 ;              40.0  ;room-with-bathroom     ; 1.0 ;  61.0  ;         46.0  ;TV in all bedrooms
CANAZEI                           ;TRENTO   ;2-stars          ;COL DA LA VILA                                                               ;STREDA (VIA) DE TREVE, 21                             ;PENIA                             ;      38032 ;0462-601657               ;0462-601657               ;coldalavila@virgilio.it                                            ;www.coldalavila.com                                                                                             ;hotel                   ;bed-and-breakfast     ;469750228    ;    1556 ;             17 ;            38 ;              70.0  ;room-with-bathroom     ; 1.0 ;  80.0  ;               ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;COL DI LANA                                                                  ;STREDA (VIA) DE PORDOI, 132                           ;PASSO PORDOI                      ;      38032 ;0462-601277               ;0462-601083               ;info@coldilana.it                                                  ;www.coldilana.it                                                                                                ;hotel                   ;full-board            ;369230222    ;    2237 ;             30 ;            57 ;              45.0  ;two-room-with-bathroom ;     ;        ;         30.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;2-stars          ;DENISE                                                                       ;STRADA (VIA) DOLOMITES, 183                           ;                                  ;      38032 ;0462-601416               ;0462-601416               ;info@albergodenise.com                                             ;www.albergodenise.com                                                                                           ;hotel                   ;full-board            ;1670640221   ;    1465 ;             12 ;            25 ;              90.0  ;jr-suite               ;     ;        ;         15.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;2-stars          ;EDY                                                                          ;STRADA (VIA) DE COSTA, 155                            ;ALBA                              ;      38030 ;0462-601399               ;0462-601065               ;info@garniedy.com                                                  ;www.garniedy.com                                                                                                ;hotel                   ;bed-and-breakfast     ;672390226    ;    1517 ;             14 ;            24 ;              40.0  ;room-with-bathroom     ; 1.0 ;  59.0  ;               ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;2-stars          ;GARNI' EDEN                                                                  ;STRADA DE PAREDA, 43                                  ;                                  ;      38032 ;0462-601484               ;0462-606918               ;info@garnieden.net                                                 ;www.garnieden.net                                                                                               ;hotel                   ;bed-and-breakfast     ;1711160224   ;    1465 ;             14 ;            25 ;              50.0  ;room-with-bathroom     ; 1.0 ;  80.0  ;               ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;GARNI' INTERNATIONAL                                                         ;STREDA DOLOMITES, 193                                 ;                                  ;      38032 ;0462-601375               ;0462-601375               ;info@albergointernational.it                                       ;www.albergointernational.it                                                                                     ;hotel                   ;bed-and-breakfast     ;1406470227   ;    1465 ;             12 ;            24 ;              60.0  ;jr-suite               ; 2.0 ; 104.0  ;               ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;HOTEL SOREGHINA                                                              ;STREDA (VIA) ROMA, 19                                 ;                                  ;      38032 ;0462-601140               ;0462-602655               ;hotel@soreghina.it                                                 ;www.soreghina.it                                                                                                ;hotel                   ;full-board            ;624090221    ;    1465 ;             23 ;            43 ;              70.0  ;room-with-bathroom     ; 1.0 ;  90.0  ;         25.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;2-stars          ;LOCANDA DEGLI ARTISTI                                                        ;STREDA (VIA) ROMA, 43                                 ;                                  ;      38032 ;0462-601143               ;0462-601094               ;locandadegliartisticanazei@gmail.com                               ;www.locanda-degli-artisti.com                                                                                   ;hotel                   ;full-board            ;2348290228   ;    1465 ;             18 ;            32 ;              33.0  ;room-with-bathroom     ; 1.0 ;  67.0  ;         22.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;2-stars          ;MARIA TERESA                                                                 ;STREDA (VIA) DE COSTA, 252                            ;ALBA                              ;      38030 ;0462-601357               ;                          ;hotelmariateresa@tin.it                                            ;                                                                                                                ;hotel                   ;full-board            ;1098090226   ;    1517 ;             18 ;            32 ;              38.0  ;room-with-bathroom     ; 1.0 ;  68.0  ;         18.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;2-stars          ;MONIKA                                                                       ;STRADA (VIA) DE CIAMP TRUJAN, 9                       ;PENIA                             ;      38032 ;0462-601612               ;0462-601612               ;info@albergomonika.com                                             ;www.albergomonika.com                                                                                           ;hotel                   ;full-board            ;1097180226   ;    1556 ;             14 ;            25 ;              40.0  ;room-without-bathroom  ; 1.0 ;  40.0  ;         20.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;2-stars          ;OSVALD                                                                       ;STRADA (VIA) DOLOMITES, 135                           ;                                  ;      38032 ;0462-601125               ;0462-601309               ;info@albergo-oswald.it                                             ;www.albergo-oswald.it                                                                                           ;hotel                   ;full-board            ;1670590221   ;    1465 ;             14 ;            25 ;              35.0  ;room-with-bathroom     ; 1.0 ;  63.0  ;         22.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;2-stars          ;SASSLENG                                                                     ;STREDA DE COSTA, 230                                  ;ALBA                              ;      38030 ;0462-601270               ;0462-601035               ;info@hotelsassleng.com                                             ;www.hotelsassleng.com                                                                                           ;hotel                   ;full-board            ;1332230224   ;    1517 ;             20 ;            39 ;              50.0  ;room-with-bathroom     ; 1.0 ;  70.0  ;         30.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;S. MARIA AD NIVES                                                            ;STRADA DE TREVE, 6                                    ;PENIA                             ;      38032 ;0462-601207               ;0462-606455               ;hotel@marianives.it                                                ;www.marianives.it                                                                                               ;hotel                   ;full-board            ;1831120223   ;    1556 ;             35 ;            58 ;              80.0  ;room-with-bathroom     ; 1.0 ; 140.0  ;         30.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;2-stars          ;SONIA                                                                        ;STREDA (VIA) DE CIAMP TRUJAN, 20                      ;PENIA                             ;      38032 ;0462-601250               ;0462-601575               ;info@hotelsonia.net                                                ;www.hotelsonia.net                                                                                              ;hotel                   ;full-board            ;1015360223   ;    1556 ;             14 ;            28 ;              45.0  ;room-with-bathroom     ; 1.0 ;  55.0  ;         25.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;3-stars          ;ALBERGO VILLETTA MARIA                                                       ;STRADA DE CIAMP TRUJAN, 44                            ;PIAN TREVISAN                     ;      38032 ;0462-601121               ;0462-601527               ;info@unionhotelscanazei.it                                         ;www.hotelvillettamariacanazei.it                                                                                ;hotel                   ;full-board            ;1055560229   ;    1766 ;             20 ;            45 ;              65.0  ;suite                  ;     ;        ;         55.0  ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;3-stars          ;ALBOLINA                                                                     ;STRADA (VIA) DE COSTA, 121                            ;ALBA                              ;      38030 ;0462-601323               ;0462-602676               ;info@albolina.it                                                   ;www.albolina.it                                                                                                 ;hotel                   ;full-board            ;1094540224   ;    1517 ;             30 ;            62 ;             100.0  ;room-with-bathroom     ; 2.0 ; 210.0  ;         46.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ALPE                                                                         ;STRADA (VIA) DE COSTA, 256                            ;ALBA                              ;      38030 ;0462-601357               ;0462-601760               ;hotelalpe@tin.it                                                   ;www.hotelalpe.com                                                                                               ;hotel                   ;full-board            ;1098090226   ;    1517 ;             43 ;            98 ;              65.0  ;room-with-bathroom     ; 1.0 ;  92.0  ;         25.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ALPINE BOUTIQUE VILLA CRISTINA                                               ;STREDA DE CONTRIN, 7                                  ;ALBA                              ;      38032 ;0462-602009               ;0462-602108               ;info@hotelvillacristina.it                                         ;www.hotelvillacristina.it                                                                                       ;hotel                   ;full-board            ;1747470225   ;    1517 ;             14 ;            25 ;              90.0  ;jr-suite               ;     ;        ;         50.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ALPINO AL CAVALLETTO                                                         ;STREDA (VIA) DE COSTA, 103                            ;ALBA                              ;      38032 ;0462-601318               ;0462-606378               ;info@alpinoalcavalletto.it                                         ;www.alpinoalcavalletto.it                                                                                       ;hotel                   ;full-board            ;1144240221   ;    1517 ;             27 ;            56 ;              60.0  ;jr-suite               ;     ;        ;         30.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;AL VIEL                                                                      ;STRADA DE CIAMPAC, 11                                 ;                                  ;      38032 ;0462-600081               ;0462-606294               ;info@hotelalviel.it                                                ;www.hotelalviel.it                                                                                              ;hotel                   ;bed-and-breakfast     ;1643630229   ;    1465 ;             12 ;            24 ;              52.5  ;room-with-bathroom     ; 2.0 ; 140.0  ;               ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ARNICA                                                                       ;STRADA (VIA) DE SORAPERA, 21                          ;ALBA                              ;      38030 ;0462-601410               ;0462-602796               ;info@hotelarnica.it                                                ;www.hotelarnica.it                                                                                              ;hotel                   ;full-board            ;1095990220   ;    1517 ;             38 ;            90 ;              25.0  ;apartment              ;     ;        ;         25.0  ;Parking (insured for at least 50% of the housing units)
CANAZEI                           ;TRENTO   ;3-stars          ;AZOLA                                                                        ;STRADA (VIA) DE PIÉ, 7                                ;                                  ;      38032 ;0462-602267               ;0462-601096               ;hotel@azola.it                                                     ;www.azola.it                                                                                                    ;hotel                   ;full-board            ;440720225    ;    1465 ;             21 ;            42 ;              67.5  ;room-with-bathroom     ; 2.0 ; 150.0  ;         35.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;BERNARD                                                                      ;STRADA (VIA) ROMA, 25                                 ;                                  ;      38032 ;0462-601112               ;0462-601265               ;info@hotelbernard.com                                              ;www.hotelbernard.com                                                                                            ;hotel                   ;full-board            ;624640223    ;    1465 ;             25 ;            51 ;              55.0  ;jr-suite               ;     ;        ;         39.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;CHALET PINETA                                                                ;STREDA (VIA) DEL CIUCH, 80                            ;                                  ;      38032 ;0462-601162               ;0462-606952               ;info@chaletpineta.com                                              ;www.chaletpineta.com                                                                                            ;hotel                   ;full-board            ;662370220    ;    1465 ;             21 ;            34 ;              90.0  ;two-room-with-bathroom ;     ;        ;         80.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;CIRELLE                                                                      ;STRADA DE COSTA 123/129                               ;ALBA                              ;      38030 ;0462-602086               ;0462-602576               ;info@cirelle.it                                                    ;www.cirelle.it                                                                                                  ;hotel                   ;bed-and-breakfast     ;1256320225   ;    1517 ;             27 ;            77 ;              60.0  ;apartment              ; 2.0 ; 150.0  ;               ;Terrace or solarium garden
CANAZEI                           ;TRENTO   ;3-stars          ;DE MATIE                                                                     ;STREDA DO RUF DE SORACREPA, 3                         ;                                  ;      38032 ;0462-602111               ;0462-602146               ;info@hoteldematie.com                                              ;www.hoteldematie.com                                                                                            ;hotel                   ;full-board            ;632850228    ;    1465 ;             21 ;            51 ;              76.0  ;room-with-bathroom     ; 1.0 ;  85.0  ;         25.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;DOLOMITES INN                                                                ;STREDA DE ANTERSIES, 3                                ;PENIA                             ;      38032 ;0462-602212               ;0462-602474               ;dolomites.inn@rolmail.net                                          ;www.dolomitesinn.com                                                                                            ;hotel                   ;full-board            ;928990225    ;    1556 ;             27 ;            54 ;              60.0  ;room-with-bathroom     ; 2.0 ; 154.0  ;         27.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ENGEL                                                                        ;STRADA (VIA) DEL CIUCH, 10                            ;                                  ;      38032 ;0462-602495               ;0462-601601               ;info@hotelengelcanazei.it                                          ;www.hotelengelcanazei.it                                                                                        ;hotel                   ;full-board            ;1093030227   ;    1465 ;             32 ;            71 ;              70.0  ;room-with-bathroom     ; 2.0 ; 160.0  ;         22.0  ;TV in all bedrooms
CANAZEI                           ;TRENTO   ;3-stars          ;FEDAIA                                                                       ;STRADA (VIA) DE COSTA,111                             ;ALBA                              ;      38030 ;0462-601327               ;0462-602558               ;info@hotelfedaia.it                                                ;www.hotelfedaia.it                                                                                              ;hotel                   ;full-board            ;825180227    ;    1517 ;             23 ;            50 ;              68.0  ;room-with-bathroom     ; 1.0 ;  96.0  ;         35.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;FIORDALISO                                                                   ;STRADA  DOLOMITES, 8                                  ;                                  ;      38032 ;0462-601453               ;0462-606280               ;h.fiordaliso@tin.it                                                ;www.hfiordaliso.com                                                                                             ;hotel                   ;full-board            ;1099960229   ;    1465 ;             22 ;            45 ;              70.0  ;room-with-bathroom     ; 1.0 ;  85.0  ;         20.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;GONZAGA                                                                      ;STREDA (VIA) DE PORDOI, 102                           ;PASSO PORDOI                      ;      38032 ;0462-602121               ;0462-602642               ;info@hotelgonzaga.eu                                               ;www.hotelgonzaga.eu                                                                                             ;tourist hotel residence ;bed-and-breakfast     ;1153750227   ;    2237 ;             19 ;            73 ;              52.0  ;apartment              ;     ;        ;               ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;HOTEL BELLEVUE - UNION HOTELS CANAZEI CAMPITELLO DI FASSA                    ;STREDA (VIA) DOLOMITES, 134                           ;                                  ;      38032 ;0462-601033               ;0462-601527               ;info@unionhotelscanazei.it                                         ;www.unionhotelscanazei.it                                                                                       ;hotel                   ;full-board            ;585020225    ;    1465 ;             52 ;           103 ;              65.0  ;two-room-with-bathroom ;     ;        ;         69.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;HOTEL DIANA                                                                  ;STREDA (VIA) DEL CIUCH, 6                             ;                                  ;      38032 ;0462-601477               ;0462-602694               ;info@hoteldiana.tn.it                                              ;www.hoteldiana.tn.it                                                                                            ;hotel                   ;full-board            ;1385390222   ;    1465 ;             23 ;            47 ;              35.0  ;suite                  ;     ;        ;         35.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;IRMA                                                                         ;STRADA (VIA) FRANZ DANTONE, 51                        ;                                  ;      38032 ;0462-601428               ;0462-601742               ;info@albergoirma.it                                                ;www.albergoirma.it                                                                                              ;hotel                   ;full-board            ;1095580229   ;    1465 ;             24 ;            49 ;              27.0  ;room-with-bathroom     ; 1.0 ;  83.0  ;         25.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;ITALIA                                                                       ;STREDA (VIA) DOLOMITES, 120                           ;                                  ;      38032 ;0462-601120               ;0462-602571               ;info@hotelitalia.eu                                                ;www.hotelitalia.tn.it                                                                                           ;hotel                   ;full-board            ;1099980227   ;    1465 ;             22 ;            43 ;              85.0  ;room-with-bathroom     ; 1.0 ; 120.0  ;         35.0  ;Elevator to all floors
CANAZEI                           ;TRENTO   ;3-stars          ;LAURIN                                                                       ;STRADA (VIA) DOLOMITES, 91                            ;                                  ;      38032 ;0462-601286               ;0462-602786               ;info@hotellaurincanazei.com                                        ;www.hotellaurincanazei.com                                                                                      ;hotel                   ;full-board            ;1953050224   ;    1465 ;             26 ;            52 ;              80.0  ;jr-suite               ;     ;        ;         27.0  ;Elevator to all floors
